AFFILIATION_ID|PROVIDER_ID|AFFILIATE_PROVIDER_ID|AFFILIATION_TYPE_CD|PREFERRED_AFFIL_FLAG|AFFILIATE_PAYABLE|PCP_FLAG|EFFECTIVE_DT|TERM_DT
BKC16394035^BKC000000002^20160101_000000.^BKC0NA|BKC16394035^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC16394055^BKC000000002^20160101_000000.^BKC0NA|BKC16394055^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC16494041^BKC000000005^20160101_000000.^BKC0NA|BKC16494041^BKC0NA|BKC000000005^BKC0NA||N|||2016-01-01|9999-12-31
BKC16783065^BKC000000002^20160101_000000.^BKC0NA|BKC16783065^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC16784063^BKC000000002^20160101_000000.^BKC0NA|BKC16784063^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC16913027^BKC000000002^20160101_000000.^BKC0NA|BKC16913027^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC16913037^BKC000000002^20160101_000000.^BKC0NA|BKC16913037^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC16913047^BKC000000002^20160101_000000.^BKC0NA|BKC16913047^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC16956041^BKC000000012^20160101_000000.^BKC0NA|BKC16956041^BKC0NA|BKC000000012^BKC0NA||N|||2016-01-01|9999-12-31
BKC17221019^BKC000000004^20160101_000000.^BKC0NA|BKC17221019^BKC0NA|BKC000000004^BKC0NA||N|||2016-01-01|9999-12-31
BKC17282051^BKC000000019^20160701_000000.^BKC0NA|BKC17282051^BKC0NA|BKC000000019^BKC0NA||N|||2016-07-01|9999-12-31
BKC17355030^BKC000000002^20160101_000000.^BKC0NA|BKC17355030^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC17429017^BKC000000003^20160101_000000.^BKC0NA|BKC17429017^BKC0NA|BKC000000003^BKC0NA||N|||2016-01-01|9999-12-31
BKC17454138^BKC000000017^20180101_000000.^BKC0NA|BKC17454138^BKC0NA|BKC000000017^BKC0NA||N|||2018-01-01|9999-12-31
BKC17496103^BKC000000002^20160101_000000.^BKC0NA|BKC17496103^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC17530027^BKC000000007^20160101_000000.^BKC0NA|BKC17530027^BKC0NA|BKC000000007^BKC0NA||N|||2016-01-01|9999-12-31
BKC17572042^BKC000000002^20160101_000000.^BKC0NA|BKC17572042^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC17585084^BKC000000002^20160101_000000.^BKC0NA|BKC17585084^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC17603116^BKC000000019^20160701_000000.^BKC0NA|BKC17603116^BKC0NA|BKC000000019^BKC0NA||N|||2016-07-01|9999-12-31
BKC17606081^BKC000000017^20160101_000000.^BKC0NA|BKC17606081^BKC0NA|BKC000000017^BKC0NA||N|||2016-01-01|9999-12-31
BKC17607039^BKC000000007^20160101_000000.^BKC0NA|BKC17607039^BKC0NA|BKC000000007^BKC0NA||N|||2016-01-01|9999-12-31
BKC17666074^BKC000000002^20160101_000000.^BKC0NA|BKC17666074^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC17679056^BKC000000002^20160101_000000.^BKC0NA|BKC17679056^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC18049101^BKC000000024^20161201_000000.^BKC0NA|BKC18049101^BKC0NA|BKC000000024^BKC0NA||N|||2016-12-01|9999-12-31
BKC18057032^BKC000000017^20160101_000000.^BKC0NA|BKC18057032^BKC0NA|BKC000000017^BKC0NA||N|||2016-01-01|9999-12-31
BKC18203026^BKC000000002^20160101_000000.^BKC0NA|BKC18203026^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC18203036^BKC000000002^20160101_000000.^BKC0NA|BKC18203036^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC18203046^BKC000000002^20160101_000000.^BKC0NA|BKC18203046^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC18288065^BKC000000002^20160101_000000.^BKC0NA|BKC18288065^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC18289033^BKC000000002^20160101_000000.^BKC0NA|BKC18289033^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC18309121^BKC000000005^20160101_000000.^BKC0NA|BKC18309121^BKC0NA|BKC000000005^BKC0NA||N|||2016-01-01|9999-12-31
